topic,category,prompt,quality_score
moral relativism,Philosophy,Give a structured explanation of moral relativism with clear sections and examples.,0.51
neural networks,Coding,neural networks explanation,0.42
business model canvas,Business,business model canvas explanation,0.45
mental health,General,Explain mental health for someone with basic knowledge of General using clear language.,0.78
CRISPR,Science,Explain CRISPR in detail with examples and practical applications.,0.75
concurrency,Coding,Give a structured explanation of concurrency with clear sections and examples.,0.65
flipped classroom,Education,"As a domain expert, explain flipped classroom thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.91
political philosophy,Philosophy,Give a structured explanation of political philosophy with clear sections and examples.,0.69
sorting algorithms,Coding,Explain sorting algorithms in detail with examples and practical applications.,0.59
recursion,Coding,Explain recursion in detail with examples and practical applications.,0.76
identity crisis,Creative Writing,Give a structured explanation of identity crisis with clear sections and examples.,0.69
nuclear fusion,Science,Explain nuclear fusion,0.26
database indexing,Coding,Explain database indexing,0.37
decision making,General,You are a senior professional in General. Analyze decision making providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.83
kubernetes,Coding,"As a leading researcher in Coding, analyze kubernetes with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
underwater world,Creative Writing,"As a domain expert, explain underwater world thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.86
communication skills,General,You are an expert in communication skills. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.94
blockchain,Coding,What is blockchain?,0.25
curriculum design,Education,Walk me through curriculum design step by step covering the basics and intermediate concepts.,0.79
system design,Coding,Give a structured explanation of system design with clear sections and examples.,0.75
dark matter,Science,Act as a specialist in dark matter. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.96
microservices,Coding,Explain microservices in detail with examples and practical applications.,0.73
utilitarianism,Philosophy,Act as a thought leader on utilitarianism. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.95
video marketing,Marketing,You are a world-renowned expert in video marketing. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.95
existentialism,Philosophy,Give me info on existentialism,0.2
resilience,General,Act as a specialist in resilience. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.89
marketing strategy,Business,You are an expert in marketing strategy. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.83
stoicism,Philosophy,Explain stoicism in detail with examples and practical applications.,0.77
binary search tree,Coding,Act as a thought leader on binary search tree. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.86
kubernetes,Coding,Tell me about kubernetes,0.25
gamification,Education,"As a leading researcher in Education, analyze gamification with academic rigor covering methodology findings implications and areas requiring further investigation.",0.97
unreliable narrator,Creative Writing,"As a leading researcher in Creative Writing, analyze unreliable narrator with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
nuclear fusion,Science,"As a domain expert, explain nuclear fusion thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.98
political philosophy,Philosophy,"As a leading researcher in Philosophy, analyze political philosophy with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
nanotechnology,Science,Describe nanotechnology briefly,0.17
stem cells,Science,Describe stem cells including its key features benefits and limitations.,0.6
REST API,Coding,You are an expert in REST API. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.86
post apocalyptic world,Creative Writing,Explain post apocalyptic world,0.42
stoicism,Philosophy,Act as a thought leader on stoicism. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.94
emotional intelligence,General,Give a structured explanation of emotional intelligence with clear sections and examples.,0.59
magic system,Creative Writing,Act as a specialist in magic system. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.95
startup funding,Business,Describe startup funding including its key features benefits and limitations.,0.61
design patterns,Coding,"As a leading researcher in Coding, analyze design patterns with academic rigor covering methodology findings implications and areas requiring further investigation.",0.82
video marketing,Marketing,"As a domain expert, explain video marketing thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.9
vaccine development,Science,vaccine development explanation,0.41
political philosophy,Philosophy,political philosophy explanation,0.42
blended learning,Education,Write about blended learning,0.19
graph algorithms,Coding,Act as a thought leader on graph algorithms. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.93
product positioning,Marketing,What is product positioning?,0.27
neural networks,Coding,Give a structured explanation of neural networks with clear sections and examples.,0.51
community building,Marketing,Tell me about community building,0.16
future of work,General,Describe future of work briefly,0.24
social media campaign,Marketing,social media campaign explanation,0.19
brand storytelling,Marketing,Give a structured explanation of brand storytelling with clear sections and examples.,0.59
photosynthesis,Science,Write about photosynthesis,0.4
redemption,Creative Writing,Describe redemption briefly,0.21
digital identity,Philosophy,Explain digital identity in detail with examples and practical applications.,0.74
found family,Creative Writing,Describe found family including its key features benefits and limitations.,0.67
dark matter,Science,Explain dark matter in detail with examples and practical applications.,0.68
growth hacking,Marketing,Act as a specialist in growth hacking. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.96
video marketing,Marketing,Tell me about video marketing,0.39
climate change,Science,climate change explanation,0.38
justice and equality,Philosophy,Give a structured explanation of justice and equality with clear sections and examples.,0.56
epistemology,Philosophy,Write about epistemology,0.31
dark matter,Science,You are an expert in dark matter. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.88
black holes,Science,Write about black holes,0.41
time travel,Creative Writing,Tell me about time travel,0.26
justice and equality,Philosophy,What is justice and equality?,0.28
quantum mechanics,Science,What is quantum mechanics?,0.31
microservices,Coding,"As a leading researcher in Coding, analyze microservices with academic rigor covering methodology findings implications and areas requiring further investigation.",0.88
email marketing,Marketing,email marketing explanation,0.16
time travel,Creative Writing,What is time travel?,0.36
mystery thriller,Creative Writing,Act as a thought leader on mystery thriller. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
kubernetes,Coding,Explain kubernetes for someone with basic knowledge of Coding using clear language.,0.78
project based learning,Education,Describe project based learning including its key features benefits and limitations.,0.66
customer journey,Marketing,Explain customer journey,0.38
mystery thriller,Creative Writing,You are a world-renowned expert in mystery thriller. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.92
conversion optimization,Marketing,Explain conversion optimization in detail with examples and practical applications.,0.78
leadership,General,You are an expert in leadership. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.87
stoicism,Philosophy,Act as a seasoned practitioner with 20 years experience in stoicism. Share expert insights common pitfalls best practices and real-world case studies.,0.97
project based learning,Education,Explain project based learning in detail with examples and practical applications.,0.64
student motivation,Education,Explain student motivation,0.41
identity crisis,Creative Writing,Explain identity crisis for someone with basic knowledge of Creative Writing using clear language.,0.54
brand storytelling,Marketing,brand storytelling explanation,0.28
STEM education,Education,help with STEM education,0.29
space exploration,Creative Writing,Provide an overview of space exploration covering the main concepts and how they apply to Creative Writing.,0.69
assessment methods,Education,Provide an overview of assessment methods covering the main concepts and how they apply to Education.,0.52
machine learning,Coding,Tell me about machine learning,0.16
mystery thriller,Creative Writing,Provide an overview of mystery thriller covering the main concepts and how they apply to Creative Writing.,0.62
system design,Coding,Explain system design in detail with examples and practical applications.,0.68
growth hacking,Marketing,Act as a seasoned practitioner with 20 years experience in growth hacking. Share expert insights common pitfalls best practices and real-world case studies.,0.96
dystopian society,Creative Writing,help with dystopian society,0.18
kubernetes,Coding,You are an expert in kubernetes. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.89
parallel universe,Creative Writing,help with parallel universe,0.44
flipped classroom,Education,Write about flipped classroom,0.22
personal finance,General,"As a leading researcher in General, analyze personal finance with academic rigor covering methodology findings implications and areas requiring further investigation.",0.97
marketing strategy,Business,What is marketing strategy?,0.3
relativity theory,Science,Describe relativity theory including its key features benefits and limitations.,0.68
dystopian society,Creative Writing,Give me info on dystopian society,0.27
supply chain,Business,supply chain explanation,0.21
conversion optimization,Marketing,Provide an overview of conversion optimization covering the main concepts and how they apply to Marketing.,0.52
kubernetes,Coding,Describe kubernetes briefly,0.4
classroom management,Education,You are a world-renowned expert in classroom management. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.98
lost civilization,Creative Writing,Act as a thought leader on lost civilization. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.94
supply chain,Business,"As a domain expert, explain supply chain thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.96
stem cells,Science,Act as a specialist in stem cells. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.91
leadership,General,"As a leading researcher in General, analyze leadership with academic rigor covering methodology findings implications and areas requiring further investigation.",0.94
virtual reality,Creative Writing,Give a structured explanation of virtual reality with clear sections and examples.,0.56
product positioning,Marketing,product positioning explanation,0.33
space exploration,Creative Writing,Describe space exploration briefly,0.31
venture capital,Business,Act as a specialist in venture capital. Break down this subject systematically explaining core components their relationships and practical applications in Business context.,0.97
underwater world,Creative Writing,You are an expert in underwater world. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.85
STEM education,Education,Give a structured explanation of STEM education with clear sections and examples.,0.54
graph algorithms,Coding,You are an expert in graph algorithms. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.91
DNA replication,Science,DNA replication explanation,0.36
community building,Marketing,Explain community building for someone with basic knowledge of Marketing using clear language.,0.74
affiliate marketing,Marketing,Act as a specialist in affiliate marketing. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.85
decision making,General,Explain decision making for someone with basic knowledge of General using clear language.,0.59
pricing strategy,Business,Explain pricing strategy in detail with examples and practical applications.,0.75
magic system,Creative Writing,What is magic system?,0.2
STEM education,Education,STEM education explanation,0.21
team management,Business,Explain team management,0.39
formative assessment,Education,You are a world-renowned expert in formative assessment. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.83
political philosophy,Philosophy,Provide an overview of political philosophy covering the main concepts and how they apply to Philosophy.,0.75
pricing strategy,Business,Give a structured explanation of pricing strategy with clear sections and examples.,0.54
utilitarianism,Philosophy,Provide an overview of utilitarianism covering the main concepts and how they apply to Philosophy.,0.72
climate change,Science,"As a leading researcher in Science, analyze climate change with academic rigor covering methodology findings implications and areas requiring further investigation.",0.9
email marketing,Marketing,You are a senior professional in Marketing. Analyze email marketing providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.83
habit formation,General,Explain habit formation in detail with examples and practical applications.,0.73
time management,General,You are an expert in time management. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.89
affiliate marketing,Marketing,Tell me about affiliate marketing,0.33
time travel,Creative Writing,Write about time travel,0.17
competitive analysis,Business,You are an expert in competitive analysis. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.9
gamification,Education,You are an expert in gamification. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.93
market analysis,Business,Tell me about market analysis,0.37
DNA replication,Science,Give me info on DNA replication,0.42
brand storytelling,Marketing,Act as a seasoned practitioner with 20 years experience in brand storytelling. Share expert insights common pitfalls best practices and real-world case studies.,0.83
content marketing,Marketing,You are a world-renowned expert in content marketing. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.95
design patterns,Coding,You are a world-renowned expert in design patterns. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.84
space exploration,Creative Writing,Act as a thought leader on space exploration. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
startup funding,Business,Walk me through startup funding step by step covering the basics and intermediate concepts.,0.55
quantum mechanics,Science,Act as a specialist in quantum mechanics. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.94
relativity theory,Science,Act as a seasoned practitioner with 20 years experience in relativity theory. Share expert insights common pitfalls best practices and real-world case studies.,0.92
strategic planning,Business,"As a domain expert, explain strategic planning thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
free will,Philosophy,Give a structured explanation of free will with clear sections and examples.,0.71
startup funding,Business,Give me info on startup funding,0.42
vaccine development,Science,"As a domain expert, explain vaccine development thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
mystery thriller,Creative Writing,You are an expert in mystery thriller. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.85
mental health,General,Describe mental health briefly,0.39
public speaking,General,Explain public speaking for someone with basic knowledge of General using clear language.,0.52
learning disabilities,Education,You are a world-renowned expert in learning disabilities. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.91
mind body problem,Philosophy,Walk me through mind body problem step by step covering the basics and intermediate concepts.,0.79
DNA replication,Science,Give a structured explanation of DNA replication with clear sections and examples.,0.79
decision making,General,What are the most important aspects of decision making in the context of General?,0.71
growth hacking,Marketing,help with growth hacking,0.36
free will,Philosophy,Describe free will including its key features benefits and limitations.,0.54
mind body problem,Philosophy,"As a leading researcher in Philosophy, analyze mind body problem with academic rigor covering methodology findings implications and areas requiring further investigation.",0.89
mental health,General,Write about mental health,0.39
conversion optimization,Marketing,conversion optimization explanation,0.19
team management,Business,team management explanation,0.26
conflict resolution,General,Walk me through conflict resolution step by step covering the basics and intermediate concepts.,0.7
design patterns,Coding,Describe design patterns briefly,0.22
evolution,Science,Act as a seasoned practitioner with 20 years experience in evolution. Share expert insights common pitfalls best practices and real-world case studies.,0.95
flipped classroom,Education,Give me info on flipped classroom,0.24
docker,Coding,Describe docker including its key features benefits and limitations.,0.66
microservices,Coding,"As a domain expert, explain microservices thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
system design,Coding,Tell me about system design,0.2
product positioning,Marketing,Describe product positioning briefly,0.26
product positioning,Marketing,What are the most important aspects of product positioning in the context of Marketing?,0.55
growth hacking,Marketing,"As a domain expert, explain growth hacking thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
learning disabilities,Education,Act as a thought leader on learning disabilities. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.88
communication skills,General,help with communication skills,0.29
binary search tree,Coding,Tell me about binary search tree,0.31
productivity,General,Describe productivity briefly,0.18
product launch,Business,You are an expert in product launch. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.97
referral program,Marketing,Describe referral program briefly,0.26
email marketing,Marketing,Explain email marketing,0.31
brand identity,Business,Give a structured explanation of brand identity with clear sections and examples.,0.52
growth hacking,Marketing,Provide an overview of growth hacking covering the main concepts and how they apply to Marketing.,0.71
docker,Coding,docker explanation,0.26
decision making,General,"As a leading researcher in General, analyze decision making with academic rigor covering methodology findings implications and areas requiring further investigation.",0.87
project based learning,Education,Explain project based learning,0.26
resilience,General,Explain resilience,0.2
business model canvas,Business,Act as a seasoned practitioner with 20 years experience in business model canvas. Share expert insights common pitfalls best practices and real-world case studies.,0.85
dystopian society,Creative Writing,What is dystopian society?,0.19
influencer strategy,Marketing,Describe influencer strategy including its key features benefits and limitations.,0.64
gamification,Education,Describe gamification including its key features benefits and limitations.,0.76
vaccine development,Science,Explain vaccine development for someone with basic knowledge of Science using clear language.,0.71
online learning,Education,Explain online learning in detail with examples and practical applications.,0.51
viral content,Marketing,You are an expert in viral content. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.87
curriculum design,Education,Give me info on curriculum design,0.28
public speaking,General,"As a leading researcher in General, analyze public speaking with academic rigor covering methodology findings implications and areas requiring further investigation.",0.89
social contract,Philosophy,Explain social contract for someone with basic knowledge of Philosophy using clear language.,0.62
justice and equality,Philosophy,You are a senior professional in Philosophy. Analyze justice and equality providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.88
vaccine development,Science,Give a structured explanation of vaccine development with clear sections and examples.,0.8
vaccine development,Science,What is vaccine development?,0.44
creativity,General,Describe creativity including its key features benefits and limitations.,0.66
public speaking,General,You are an expert in public speaking. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.84
truth and knowledge,Philosophy,Describe truth and knowledge briefly,0.37
learning disabilities,Education,Explain learning disabilities for someone with basic knowledge of Education using clear language.,0.53
community building,Marketing,help with community building,0.17
emotional intelligence,General,What is emotional intelligence?,0.29
personal finance,General,Describe personal finance including its key features benefits and limitations.,0.73
virtual reality,Creative Writing,Give me info on virtual reality,0.37
DNA replication,Science,Act as a specialist in DNA replication. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.97
strategic planning,Business,Explain strategic planning for someone with basic knowledge of Business using clear language.,0.6
stoicism,Philosophy,Explain stoicism for someone with basic knowledge of Philosophy using clear language.,0.72
utilitarianism,Philosophy,You are a world-renowned expert in utilitarianism. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.95
epistemology,Philosophy,"As a domain expert, explain epistemology thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.98
customer journey,Marketing,help with customer journey,0.38
space exploration,Creative Writing,Explain space exploration,0.27
business model canvas,Business,What is business model canvas?,0.29
startup funding,Business,Describe startup funding briefly,0.24
creativity,General,Write about creativity,0.41
public speaking,General,Act as a specialist in public speaking. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.88
startup funding,Business,Give a structured explanation of startup funding with clear sections and examples.,0.73
emotional intelligence,General,Give me info on emotional intelligence,0.35
SEO strategy,Marketing,Act as a thought leader on SEO strategy. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.96
viral content,Marketing,Provide an overview of viral content covering the main concepts and how they apply to Marketing.,0.57
vaccine development,Science,Explain vaccine development in detail with examples and practical applications.,0.64
free will,Philosophy,You are an expert in free will. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.91
CRISPR,Science,help with CRISPR,0.3
found family,Creative Writing,"As a domain expert, explain found family thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93
stoicism,Philosophy,What is stoicism?,0.28
learning disabilities,Education,You are an expert in learning disabilities. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.93
time travel,Creative Writing,Act as a seasoned practitioner with 20 years experience in time travel. Share expert insights common pitfalls best practices and real-world case studies.,0.88
critical thinking,Education,Act as a thought leader on critical thinking. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.94
artificial intelligence,Creative Writing,artificial intelligence explanation,0.45
assessment methods,Education,Tell me about assessment methods,0.4
decision making,General,Describe decision making briefly,0.17
mystery thriller,Creative Writing,Describe mystery thriller briefly,0.23
magic system,Creative Writing,"As a leading researcher in Creative Writing, analyze magic system with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96
stoicism,Philosophy,Give me info on stoicism,0.21
REST API,Coding,Act as a seasoned practitioner with 20 years experience in REST API. Share expert insights common pitfalls best practices and real-world case studies.,0.88
underwater world,Creative Writing,What is underwater world?,0.25
database indexing,Coding,What is database indexing?,0.35
classroom management,Education,Act as a thought leader on classroom management. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
resilience,General,What is resilience?,0.36
leadership,General,What is leadership?,0.43
conflict resolution,General,You are an expert in conflict resolution. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.85
ethics of AI,Philosophy,Give a structured explanation of ethics of AI with clear sections and examples.,0.57
brand identity,Business,Explain brand identity for someone with basic knowledge of Business using clear language.,0.72
public speaking,General,Act as a seasoned practitioner with 20 years experience in public speaking. Share expert insights common pitfalls best practices and real-world case studies.,0.87
SEO strategy,Marketing,Tell me about SEO strategy,0.25
graph algorithms,Coding,help with graph algorithms,0.27
nanotechnology,Science,What is nanotechnology?,0.25
project based learning,Education,Act as a thought leader on project based learning. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.94
formative assessment,Education,Act as a thought leader on formative assessment. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
mind body problem,Philosophy,What is mind body problem?,0.39
particle physics,Science,"As a domain expert, explain particle physics thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.85
truth and knowledge,Philosophy,Tell me about truth and knowledge,0.44
flipped classroom,Education,Explain flipped classroom for someone with basic knowledge of Education using clear language.,0.63
public speaking,General,Walk me through public speaking step by step covering the basics and intermediate concepts.,0.58
conversion optimization,Marketing,Give me info on conversion optimization,0.45
time management,General,What is time management?,0.16
venture capital,Business,Provide an overview of venture capital covering the main concepts and how they apply to Business.,0.71
time travel,Creative Writing,Describe time travel briefly,0.27
post apocalyptic world,Creative Writing,help with post apocalyptic world,0.45
dystopian society,Creative Writing,Give a structured explanation of dystopian society with clear sections and examples.,0.62
graph algorithms,Coding,graph algorithms explanation,0.15
revenue model,Business,"As a domain expert, explain revenue model thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.97
public speaking,General,What are the most important aspects of public speaking in the context of General?,0.74
black holes,Science,Explain black holes in detail with examples and practical applications.,0.71
assessment methods,Education,Describe assessment methods including its key features benefits and limitations.,0.75
binary search tree,Coding,Write about binary search tree,0.42
nuclear fusion,Science,Act as a seasoned practitioner with 20 years experience in nuclear fusion. Share expert insights common pitfalls best practices and real-world case studies.,0.89
ethics of AI,Philosophy,Provide an overview of ethics of AI covering the main concepts and how they apply to Philosophy.,0.51
project based learning,Education,Act as a seasoned practitioner with 20 years experience in project based learning. Share expert insights common pitfalls best practices and real-world case studies.,0.89
customer retention,Business,Explain customer retention,0.29
peer teaching,Education,"As a domain expert, explain peer teaching thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
digital identity,Philosophy,What are the most important aspects of digital identity in the context of Philosophy?,0.66
nanotechnology,Science,Act as a seasoned practitioner with 20 years experience in nanotechnology. Share expert insights common pitfalls best practices and real-world case studies.,0.97
marketing strategy,Business,Provide an overview of marketing strategy covering the main concepts and how they apply to Business.,0.5
epistemology,Philosophy,Describe epistemology including its key features benefits and limitations.,0.63
system design,Coding,Describe system design including its key features benefits and limitations.,0.79
utilitarianism,Philosophy,utilitarianism explanation,0.19
stoicism,Philosophy,You are a senior professional in Philosophy. Analyze stoicism providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.93
mystery thriller,Creative Writing,Describe mystery thriller including its key features benefits and limitations.,0.58
digital transformation,Business,Act as a seasoned practitioner with 20 years experience in digital transformation. Share expert insights common pitfalls best practices and real-world case studies.,0.98
machine learning,Coding,Act as a thought leader on machine learning. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.91
venture capital,Business,Act as a thought leader on venture capital. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.88
virtual reality,Creative Writing,help with virtual reality,0.23
conversion optimization,Marketing,Explain conversion optimization for someone with basic knowledge of Marketing using clear language.,0.62
social media campaign,Marketing,You are a world-renowned expert in social media campaign. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.88
customer journey,Marketing,What are the most important aspects of customer journey in the context of Marketing?,0.65
community building,Marketing,Explain community building in detail with examples and practical applications.,0.63
digital transformation,Business,You are an expert in digital transformation. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.91
mind body problem,Philosophy,Act as a thought leader on mind body problem. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.82
flipped classroom,Education,Give a structured explanation of flipped classroom with clear sections and examples.,0.74
decision making,General,Act as a specialist in decision making. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.9
plate tectonics,Science,Act as a thought leader on plate tectonics. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.9
lost civilization,Creative Writing,Give a structured explanation of lost civilization with clear sections and examples.,0.58
sustainable living,General,Act as a specialist in sustainable living. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.9
learning disabilities,Education,Walk me through learning disabilities step by step covering the basics and intermediate concepts.,0.53
parallel universe,Creative Writing,"As a leading researcher in Creative Writing, analyze parallel universe with academic rigor covering methodology findings implications and areas requiring further investigation.",0.94
photosynthesis,Science,Act as a seasoned practitioner with 20 years experience in photosynthesis. Share expert insights common pitfalls best practices and real-world case studies.,0.86
digital identity,Philosophy,Walk me through digital identity step by step covering the basics and intermediate concepts.,0.72
learning disabilities,Education,"As a leading researcher in Education, analyze learning disabilities with academic rigor covering methodology findings implications and areas requiring further investigation.",0.92
personalized learning,Education,You are an expert in personalized learning. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.86
decision making,General,Give me info on decision making,0.44
venture capital,Business,Give me info on venture capital,0.36
learning disabilities,Education,Provide an overview of learning disabilities covering the main concepts and how they apply to Education.,0.71
moral relativism,Philosophy,Tell me about moral relativism,0.17
stem cells,Science,Explain stem cells,0.26
supply chain,Business,Walk me through supply chain step by step covering the basics and intermediate concepts.,0.73
gamification,Education,Write about gamification,0.2
future of work,General,Explain future of work,0.34
growth hacking,Marketing,Explain growth hacking,0.21
content marketing,Marketing,Act as a seasoned practitioner with 20 years experience in content marketing. Share expert insights common pitfalls best practices and real-world case studies.,0.91
identity crisis,Creative Writing,Write about identity crisis,0.36
SEO strategy,Marketing,Act as a specialist in SEO strategy. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.91
strategic planning,Business,Describe strategic planning including its key features benefits and limitations.,0.5
epistemology,Philosophy,epistemology explanation,0.25
docker,Coding,"As a domain expert, explain docker thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
blended learning,Education,Act as a seasoned practitioner with 20 years experience in blended learning. Share expert insights common pitfalls best practices and real-world case studies.,0.83
influencer strategy,Marketing,"As a domain expert, explain influencer strategy thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.92
virtual reality,Creative Writing,Provide an overview of virtual reality covering the main concepts and how they apply to Creative Writing.,0.53
peer teaching,Education,Give me info on peer teaching,0.25
communication skills,General,Tell me about communication skills,0.34
strategic planning,Business,Act as a seasoned practitioner with 20 years experience in strategic planning. Share expert insights common pitfalls best practices and real-world case studies.,0.85
venture capital,Business,Describe venture capital briefly,0.32
classroom management,Education,Give me info on classroom management,0.2
community building,Marketing,"As a leading researcher in Marketing, analyze community building with academic rigor covering methodology findings implications and areas requiring further investigation.",0.87
dark matter,Science,Act as a seasoned practitioner with 20 years experience in dark matter. Share expert insights common pitfalls best practices and real-world case studies.,0.89
kubernetes,Coding,"As a domain expert, explain kubernetes thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.87
blockchain,Coding,Explain blockchain for someone with basic knowledge of Coding using clear language.,0.66
resilience,General,What are the most important aspects of resilience in the context of General?,0.64
utilitarianism,Philosophy,What are the most important aspects of utilitarianism in the context of Philosophy?,0.72
redemption,Creative Writing,Explain redemption for someone with basic knowledge of Creative Writing using clear language.,0.74
nuclear fusion,Science,"As a leading researcher in Science, analyze nuclear fusion with academic rigor covering methodology findings implications and areas requiring further investigation.",0.88
project based learning,Education,You are an expert in project based learning. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.89
photosynthesis,Science,Give me info on photosynthesis,0.23
nuclear fusion,Science,help with nuclear fusion,0.38
recursion,Coding,Explain recursion for someone with basic knowledge of Coding using clear language.,0.57
virtual reality,Creative Writing,"As a leading researcher in Creative Writing, analyze virtual reality with academic rigor covering methodology findings implications and areas requiring further investigation.",0.82
product positioning,Marketing,Explain product positioning,0.31
nanotechnology,Science,Explain nanotechnology for someone with basic knowledge of Science using clear language.,0.63
mind body problem,Philosophy,Act as a specialist in mind body problem. Break down this subject systematically explaining core components their relationships and practical applications in Philosophy context.,0.92
post apocalyptic world,Creative Writing,post apocalyptic world explanation,0.26
creativity,General,Give a structured explanation of creativity with clear sections and examples.,0.56
underwater world,Creative Writing,Explain underwater world,0.45
identity crisis,Creative Writing,Describe identity crisis briefly,0.19
